Song Title,Streams,Daily
willow - moonlit witch version,"9,707,880","3,195"
Sparks Fly - Live/2011,"9,616,991","1,559"
Bette Davis Eyes - Live/2011,"9,042,881","2,132"
You Need To Calm Down - Live From Paris,"8,715,412","4,002"
Anti-Hero - Jayda G Remix,"8,633,604","3,956"
ME! - Live From Paris,"8,569,430","3,664"
Enchanted - Live/2011,"8,431,754","1,857"
Christmas Must Be Something More,"8,300,375",955
Delicate - Sawyr And Ryan Tedder Mix,"8,009,044","2,015"
The Story Of Us - Live,"7,547,897","1,496"
Mine - Live/2011,"7,414,055","1,256"
Mean - Live/2011,"7,406,046","1,222"
White Christmas,"7,388,992",699
I Want You Back - Live/2011,"7,305,408","2,330"
Ronan,"7,158,161","1,132"
Better Than Revenge - Live/2011,"7,127,727","1,589"
Dear John - Live/2011,"7,087,705","1,453"
Silent Night,"7,029,767","1,086"
Ours - Live/2011,"6,959,161",992
Long Live - Live/2011,"6,884,815","1,458"
Haunted - Live/2011,"6,509,844","1,580"
Speak Now - Live/2011,"6,492,172","1,116"
Last Kiss - Live/2011,"6,491,206","1,269"
I Know Places - Voice Memo,"6,093,743",356
* Big Star (with Taylor Swift) - Live,"5,955,662","2,086"
Our Song - International Mix,"5,894,723",849
I Can Do It With a Broken Heart - Dombresky Remix,"5,858,173","8,431"
Blank Space - Voice Memo,"4,956,291",331
I Wish You Would - Voice Memo,"4,662,575",299
I Can Do It With a Broken Heart - Instrumental,"4,424,234","3,053"
Love Story - Pop Mix,"4,304,708",620
Anti-Hero - Roosevelt Remix,"3,985,248","1,775"
Lavender Haze - Tensnake Remix,"3,931,467","2,096"
"Macavity - From The Motion Picture Soundtrack ""Cats""","3,925,097","1,364"
Lavender Haze - Jungle Remix,"2,705,103","1,193"
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"2,577,080",474
Love Story - Live From Clear Channel Stripped 2008,"2,492,266",764
You're Not Sorry - CSI Remix,"2,322,421",593
Beautiful Eyes - Live From Clear Channel Stripped 2008,"2,177,343",956
Fortnight (feat. Post Malone) - Cults Remix,"1,845,275","1,239"
Fearless - Live From Clear Channel Stripped 2008,"1,471,324",659
Love Story - J Stax Radio Mix,"1,369,774",79
Untouchable - Live From Clear Channel Stripped 2008,"918,353",484
The Last Time - Karaoke Version,"914,424","2,606"
Should've Said No - Live From Clear Channel Stripped 2008,"899,519",329
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"899,142",334
Picture To Burn - Live From Clear Channel Stripped 2008,"862,117",337
Cruel Summer - LP Giobbi Remix - Extended Version,"848,243",978
...Ready For It? - Karaoke Version,"741,137",527
Don't Blame Me - Karaoke Version,"730,560",334
Blank Space - Karaoke Version,"706,018",161
Style - Karaoke Version,"667,108",306
Look What You Made Me Do - Karaoke Version,"652,517",302
Change - Live From Clear Channel Stripped 2008,"630,298",245
Delicate - Karaoke Version,"531,605",244
Hey Stephen - Commentary,"530,753",85
Shake It Off - Karaoke Version,"526,722",250
All Too Well - Commentary,"506,941",30
Love Story - Instrumental with BGV,"482,851",222
I Did Something Bad - Karaoke Version,"443,678",216
Getaway Car - Karaoke Version,"443,271",194
Call It What You Want - Karaoke Version,"414,291",428
We Are Never Ever Getting Back Together - Commentary,"404,703",60
I Knew You Were Trouble. - Commentary,"402,138",47
Wildest Dreams - Karaoke Version,"398,496",137
I Almost Do - Commentary,"397,374",41
State Of Grace - Commentary,"395,653",55
Breathe - Commentary,"391,528",58
Stay Stay Stay - Commentary,"386,633",43
22 - Commentary,"381,774",42
Treacherous - Commentary,"374,260",39
Red - Commentary,"365,282",59
Welcome To New York - Karaoke Version,"365,118",58
End Game - Karaoke Version,"364,460",190
Out Of The Woods - Karaoke Version,"347,860",64
You Belong With Me - Commentary,"347,198",67
Gorgeous - Karaoke Version,"341,210",141
Style - Commentary,"338,369",73
Enchanted - Instrumental With Background Vocals,"333,543",141
Dancing With Our Hands Tied - Karaoke Version,"328,515",151
The Last Time - Commentary,"323,799",36
Love Story - Commentary,"323,395",60
You Belong With Me - Instrumental with BGV,"321,729",84
White Horse - Commentary,"320,502",49
New Year's Day - Karaoke Version,"318,159",177
Tell Me Why - Commentary,"314,964",50
Fearless - Instrumental with BGV,"314,698",53
Starlight - Commentary,"312,503",38
Out Of The Woods - Commentary,"311,887",60
Begin Again - Commentary,"311,777",58
Everything Has Changed - Commentary,"311,094",42
Holy Ground - Commentary,"310,716",40
Sad Beautiful Tragic - Commentary,"309,388",35
King Of My Heart - Karaoke Version,"307,100",154
Welcome to New York - Commentary,"303,566",81
Blank Space - Commentary,"301,910",84
The Lucky One - Commentary,"298,955",34
